check,param,value,share_H,share_L,share_A,share_V,mean_c_T,mean_v_T,mean_cumulative_u,m_A^v,m_V^v,m_A^c,m_V^c,omega,seconds
verification_attractors,"m_A^v,m_V^v","0.20,0.70",0.8845,0.0,0.11114,0.00436,0.9062487974379583,0.2184034267076534,586.083723066778,0.2,0.7,0.6,0.25,0.5,13.433648625
verification_attractors,"m_A^v,m_V^v","0.20,0.90",0.8841,0.0,0.10965,0.00625,0.8926928014381617,0.2496934003611516,586.0101990039954,0.2,0.9,0.6,0.25,0.5,13.34176925
verification_attractors,"m_A^v,m_V^v","0.20,1.00",0.88369,0.0,0.10896,0.00735,0.8842084769214147,0.27165582744568495,585.9547231918019,0.2,1.0,0.6,0.25,0.5,13.348751125
verification_attractors,"m_A^v,m_V^v","0.40,0.70",0.88206,0.0,0.11464,0.0033,0.9008336255871632,0.2516219486594705,586.1844493909898,0.4,0.7,0.6,0.25,0.5,13.342149249999999
verification_attractors,"m_A^v,m_V^v","0.40,0.90",0.88163,0.0,0.11364,0.00473,0.8899167915351431,0.2691185740192511,586.1700141862411,0.4,0.9,0.6,0.25,0.5,13.387086084000003
verification_attractors,"m_A^v,m_V^v","0.40,1.00",0.88145,0.0,0.11275,0.0058,0.8823147078507955,0.2857500927269191,586.1305131546882,0.4,1.0,0.6,0.25,0.5,13.348352500000004
verification_attractors,"m_A^v,m_V^v","0.60,0.70",0.87946,0.0,0.11771,0.00283,0.890224971210909,0.30782011128845654,586.2001194092047,0.6,0.7,0.6,0.25,0.5,13.438221959000003
verification_attractors,"m_A^v,m_V^v","0.60,0.90",0.87895,0.0,0.11757,0.00348,0.885033994964497,0.314014339108622,586.2143486173412,0.6,0.9,0.6,0.25,0.5,13.569163208999996
verification_attractors,"m_A^v,m_V^v","0.60,1.00",0.87872,0.0,0.11699,0.00429,0.8787651821696554,0.32295864471889774,586.2117130979105,0.6,1.0,0.6,0.25,0.5,13.406156459000002
production_attractors,"m_A^c,m_V^c","0.40,0.10",0.97979,0.0005,0.01499,0.00472,0.9063527378450402,0.24959054473438586,580.1669149698155,0.4,0.9,0.4,0.1,0.5,13.365644415999995
production_attractors,"m_A^c,m_V^c","0.40,0.25",0.97075,0.0,0.01059,0.01866,0.8978278284864096,0.28112367182060666,580.5532595399937,0.4,0.9,0.4,0.25,0.5,13.342238041000002
production_attractors,"m_A^c,m_V^c","0.40,0.40",0.94173,0.0,0.00015,0.05812,0.8937286652468225,0.3225545642388799,582.4984148326192,0.4,0.9,0.4,0.4,0.5,13.39387099999999
production_attractors,"m_A^c,m_V^c","0.60,0.10",0.8905,2e-05,0.1084,0.00108,0.9008949064146127,0.25305124841193083,586.0586502461208,0.4,0.9,0.6,0.1,0.5,13.35850695900001
production_attractors,"m_A^c,m_V^c","0.60,0.25",0.88163,0.0,0.11364,0.00473,0.8899167915351431,0.2691185740192511,586.1700141862411,0.4,0.9,0.6,0.25,0.5,8.089552083000001
production_attractors,"m_A^c,m_V^c","0.60,0.40",0.86739,0.0,0.11394,0.01867,0.8805538165392375,0.30081361551238067,586.6229342281418,0.4,0.9,0.6,0.4,0.5,13.374027124999998
production_attractors,"m_A^c,m_V^c","0.80,0.10",0.72671,3e-05,0.27309,0.00017,0.9319171284009048,0.2674779678831533,606.4675378590757,0.4,0.9,0.8,0.1,0.5,13.36084175000002
production_attractors,"m_A^c,m_V^c","0.80,0.25",0.7262,0.0,0.27293,0.00087,0.9284028299003951,0.2711155360273097,606.4885689049518,0.4,0.9,0.8,0.25,0.5,13.426121250000023
production_attractors,"m_A^c,m_V^c","0.80,0.40",0.7237,0.0,0.27261,0.00369,0.9207288494600391,0.28231991877409673,606.5518297033223,0.4,0.9,0.8,0.4,0.5,13.378527333999983
co_production_weight,omega,0.25,0.86535,0.0,0.13319,0.00146,0.9082077167238432,0.25586148112337037,589.9568002264982,0.4,0.9,0.6,0.25,0.25,13.390023958
co_production_weight,omega,0.50,0.88163,0.0,0.11364,0.00473,0.8899167915351431,0.2691185740192511,586.1700141862411,0.4,0.9,0.6,0.25,0.5,8.095915625000004
co_production_weight,omega,0.75,0.88965,0.0,0.09852,0.01183,0.8305525850448913,0.3065528029263917,583.7782552268319,0.4,0.9,0.6,0.25,0.75,13.370983500000023
